,id,timestamp,src,dst,proto,sport,dport,length
361,3988,1759840415.204592,,,0,443,51209,76
362,3989,1759840415.204592,,,0,443,51209,192
363,3987,1759840415.180295,,,0,63664,443,74
364,3985,1759840415.180224,,,0,443,63664,98
365,3986,1759840415.180224,,,0,443,63664,74
366,3984,1759840415.109233,10.63.145.185,10.63.145.255,17,137,137,92
367,3983,1759840414.98855,,,0,59966,443,75
368,3982,1759840414.941553,,,0,51209,443,316
369,3981,1759840414.830095,,,0,63664,443,74
370,3980,1759840414.829929,,,0,0,0,42
371,3977,1759840414.829831,,,0,443,52502,86
372,3978,1759840414.829831,,,0,443,63664,113
373,3979,1759840414.829831,,,0,0,0,42
374,3976,1759840414.380539,,,0,52502,443,75
375,3975,1759840414.348718,10.63.145.185,10.63.145.255,17,137,137,92
376,3974,1759840413.5949,10.63.145.185,10.63.145.255,17,137,137,92
377,3973,1759840410.892171,,,0,49761,443,74
378,3971,1759840410.846033,,,0,443,49761,76
379,3972,1759840410.846033,,,0,443,49761,172
380,3970,1759840410.348313,,,0,49761,443,2222
381,3969,1759840410.348136,,,0,49761,443,187
382,3968,1759840409.60662,,,0,443,51209,76
383,3967,1759840409.095174,,,0,51209,443,102
384,3966,1759840409.094745,,,0,443,51209,98
385,3965,1759840408.891293,,,0,49761,443,74
386,3962,1759840408.891167,,,0,443,49761,76
387,3963,1759840408.891167,,,0,443,49761,76
388,3964,1759840408.891167,,,0,443,49761,179
389,3959,1759840408.685608,10.63.145.27,10.63.145.185,17,53,54109,224
390,3960,1759840408.685608,10.63.145.27,10.63.145.185,17,53,56734,212
391,3961,1759840408.685608,10.63.145.27,10.63.145.185,17,53,60089,268
392,3958,1759840408.328578,,,0,49761,443,2222
393,3957,1759840408.328463,,,0,49761,443,187
394,3956,1759840408.328008,10.63.145.185,10.63.145.27,17,60089,53,92
395,3955,1759840408.327698,10.63.145.185,10.63.145.27,17,56734,53,92
396,3954,1759840408.327317,10.63.145.185,10.63.145.27,17,54109,53,92
397,3953,1759840408.27226,,,0,443,60215,86
398,3952,1759840408.174561,,,0,60215,443,97
399,3949,1759840408.173722,,,0,443,60215,86
400,3950,1759840408.173722,,,0,443,60215,624
401,3951,1759840408.173722,,,0,443,60215,83
402,3948,1759840407.872295,,,0,60215,443,91
403,3947,1759840407.662483,,,0,443,60215,86
404,3946,1759840407.454937,,,0,60215,443,91
405,3945,1759840407.251938,,,0,443,60215,86
406,3944,1759840407.054353,,,0,60215,443,91
407,3943,1759840406.920515,,,0,443,61455,86
408,3942,1759840406.919387,,,0,443,61455,86
409,3938,1759840406.908141,,,0,443,61455,86
410,3939,1759840406.908141,,,0,443,61455,86
411,3940,1759840406.908141,,,0,443,61455,86
412,3941,1759840406.908141,,,0,443,61455,86
413,3934,1759840406.891504,,,0,443,61455,86
414,3935,1759840406.891504,,,0,443,61455,86
415,3936,1759840406.891504,,,0,443,61455,86
416,3937,1759840406.891504,,,0,443,61455,86
417,3932,1759840406.874991,,,0,443,61455,86
418,3933,1759840406.874991,,,0,443,61455,86
419,3931,1759840406.844011,,,0,443,60215,86
420,3930,1759840406.750179,,,0,60215,443,91
421,3929,1759840406.590333,,,0,61455,443,75
422,3928,1759840406.574596,,,0,60215,443,96
423,3927,1759840406.53599,,,0,60215,443,95
424,3926,1759840406.535591,,,0,443,49761,76
425,3918,1759840406.535336,,,0,443,60215,1292
426,3919,1759840406.535336,,,0,443,60215,1292
427,3920,1759840406.535336,,,0,443,60215,1292
428,3921,1759840406.535336,,,0,443,60215,183
429,3922,1759840406.535336,,,0,443,60215,87
430,3923,1759840406.535336,,,0,443,60215,87
431,3924,1759840406.535336,,,0,443,60215,87
432,3925,1759840406.535336,,,0,443,60215,92
433,3917,1759840406.198945,,,0,49761,443,109
434,3916,1759840406.197634,,,0,443,49761,179
435,3914,1759840406.161172,10.63.145.27,224.0.0.251,17,5353,5353,135
436,3915,1759840406.161172,,,0,5353,5353,155
437,3913,1759840406.14745,,,0,443,60215,86
438,3912,1759840406.14575,,,0,60215,443,405
439,3911,1759840406.145692,,,0,60215,443,499
440,3910,1759840406.145579,,,0,60215,443,1292
441,3909,1759840406.145501,,,0,60215,443,1288
442,3908,1759840406.145033,,,0,60215,443,93
443,3907,1759840406.144873,,,0,60215,443,140
444,3899,1759840406.143656,,,0,443,60215,102
445,3900,1759840406.143656,,,0,443,60215,102
446,3901,1759840406.143656,,,0,443,60215,1292
447,3902,1759840406.143656,,,0,443,60215,1292
448,3903,1759840406.143656,,,0,443,60215,1292
449,3904,1759840406.143656,,,0,443,60215,352
450,3905,1759840406.143656,,,0,443,60215,1002
451,3906,1759840406.143656,,,0,443,60215,109
452,3898,1759840406.138792,,,0,60215,443,1292
453,3897,1759840406.13865,,,0,60215,443,1292
454,3896,1759840405.924332,,,0,49761,443,74
455,3895,1759840405.910327,,,0,443,59154,86
456,3894,1759840405.880267,,,0,443,49761,86
457,3893,1759840405.879259,,,0,443,49761,76
458,3891,1759840405.876405,,,0,443,49761,76
459,3892,1759840405.876405,,,0,443,49761,113
460,3890,1759840405.836778,,,0,60215,443,141
461,3889,1759840405.836489,,,0,60215,443,1292
462,3888,1759840405.836428,,,0,60215,443,1292
463,3887,1759840405.836332,,,0,60215,443,1292
464,3886,1759840405.827631,,,0,59154,443,95
465,3885,1759840405.827558,,,0,443,59154,1288
466,3884,1759840405.82752,,,0,59154,443,97
467,3880,1759840405.827177,,,0,443,59154,1288
468,3881,1759840405.827177,,,0,443,59154,212
469,3882,1759840405.827177,,,0,443,59154,140
470,3883,1759840405.827177,,,0,443,59154,86
471,3879,1759840405.670138,,,0,59154,443,91
472,3878,1759840405.46641,,,0,443,59154,85
473,3877,1759840405.407576,,,0,59154,443,91
474,3876,1759840405.397142,,,0,49761,443,2222
475,3875,1759840405.396905,,,0,49761,443,113
476,3874,1759840405.396635,,,0,49761,443,187
477,3873,1759840405.224533,,,0,59154,443,94
478,3872,1759840405.195374,,,0,443,59154,193
479,3871,1759840405.187317,,,0,443,59154,85
480,3870,1759840405.186414,,,0,443,59154,85
481,3869,1759840405.16819,,,0,59154,443,94
482,3868,1759840405.140904,,,0,59154,443,93
483,3867,1759840405.140575,,,0,59154,443,1292
484,3863,1759840405.138903,,,0,443,59154,1292
485,3864,1759840405.138903,,,0,443,59154,361
486,3865,1759840405.138903,,,0,443,59154,993
487,3866,1759840405.138903,,,0,443,59154,106
488,3862,1759840405.136829,,,0,443,59154,1292
489,3861,1759840405.106637,,,0,443,59154,102
490,3860,1759840404.961424,,,0,59154,443,148
491,3859,1759840404.961261,,,0,59154,443,910
492,3858,1759840404.961005,,,0,59154,443,1292
493,3857,1759840404.960845,,,0,59154,443,1288
494,3856,1759840404.959894,,,0,59154,443,141
495,3855,1759840404.959194,,,0,59154,443,1292
496,3854,1759840404.958969,,,0,59154,443,1292
497,3853,1759840404.635282,10.63.145.185,20.249.115.185,6,64509,443,54
498,3852,1759840404.589093,20.249.115.185,10.63.145.185,6,443,64509,101
499,3851,1759840404.359831,10.63.145.185,20.249.115.185,6,64509,443,112
